Region,Expected Reports,Received Reports,Compliance (%),Week,Year,Source link,Source title,datetime_loaded
AJK,469,431,92,9,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-09-2026.pdf,IDSRS Week 09 Bulletin (2026),2026-08-08T00:40:57Z
ICT,38,28,74,9,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-09-2026.pdf,IDSRS Week 09 Bulletin (2026),2026-08-08T00:40:57Z
Balochistan,1308,662,51,9,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-09-2026.pdf,IDSRS Week 09 Bulletin (2026),2026-08-08T00:40:57Z
GB,417,320,77,9,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-09-2026.pdf,IDSRS Week 09 Bulletin (2026),2026-08-08T00:40:57Z
Sindh,2111,2077,98,9,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-09-2026.pdf,IDSRS Week 09 Bulletin (2026),2026-08-08T00:40:57Z
National,6577,5277,80,9,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-09-2026.pdf,IDSRS Week 09 Bulletin (2026),2026-08-08T00:40:57Z
KP,2234,1795,80,8,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-08-2026-updated-NG.pdf,IDSRS Week 08 Bulletin (2026),2026-08-08T00:40:59Z
AJK,469,413,88,8,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-08-2026-updated-NG.pdf,IDSRS Week 08 Bulletin (2026),2026-08-08T00:40:59Z
ICT,38,30,79,8,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-08-2026-updated-NG.pdf,IDSRS Week 08 Bulletin (2026),2026-08-08T00:40:59Z
Balochistan,1308,651,50,8,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-08-2026-updated-NG.pdf,IDSRS Week 08 Bulletin (2026),2026-08-08T00:40:59Z
GB,417,334,80,8,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-08-2026-updated-NG.pdf,IDSRS Week 08 Bulletin (2026),2026-08-08T00:40:59Z
Sindh,2111,2072,98,8,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-08-2026-updated-NG.pdf,IDSRS Week 08 Bulletin (2026),2026-08-08T00:40:59Z
National,6577,5295,81,8,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-08-2026-updated-NG.pdf,IDSRS Week 08 Bulletin (2026),2026-08-08T00:40:59Z
KP,2234,1765,79,7,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/Weekly Report-07-2026.pdf,IDSRS Week 07 Bulletin (2026),2026-08-08T00:41:02Z
AJK,469,414,88,7,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/Weekly Report-07-2026.pdf,IDSRS Week 07 Bulletin (2026),2026-08-08T00:41:02Z
ICT,38,29,76,7,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/Weekly Report-07-2026.pdf,IDSRS Week 07 Bulletin (2026),2026-08-08T00:41:02Z
Balochistan,1308,584,45,7,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/Weekly Report-07-2026.pdf,IDSRS Week 07 Bulletin (2026),2026-08-08T00:41:02Z
GB,417,364,87,7,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/Weekly Report-07-2026.pdf,IDSRS Week 07 Bulletin (2026),2026-08-08T00:41:02Z
Sindh,2111,2074,98,7,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/Weekly Report-07-2026.pdf,IDSRS Week 07 Bulletin (2026),2026-08-08T00:41:02Z
National,6577,5230,80,7,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/Weekly Report-07-2026.pdf,IDSRS Week 07 Bulletin (2026),2026-08-08T00:41:02Z
KP,2234,1756,79,6,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-06-2026 (1).pdf,IDSRS Week 06 Bulletin (2026),2026-08-08T00:41:05Z
AJK,469,393,84,6,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-06-2026 (1).pdf,IDSRS Week 06 Bulletin (2026),2026-08-08T00:41:05Z
ICT,38,30,79,6,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-06-2026 (1).pdf,IDSRS Week 06 Bulletin (2026),2026-08-08T00:41:05Z
Balochistan,1308,599,46,6,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-06-2026 (1).pdf,IDSRS Week 06 Bulletin (2026),2026-08-08T00:41:05Z
GB,417,330,79,6,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-06-2026 (1).pdf,IDSRS Week 06 Bulletin (2026),2026-08-08T00:41:05Z
Sindh,2111,2074,98,6,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-06-2026 (1).pdf,IDSRS Week 06 Bulletin (2026),2026-08-08T00:41:05Z
National,6577,5182,79,6,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-06-2026 (1).pdf,IDSRS Week 06 Bulletin (2026),2026-08-08T00:41:05Z
KP,2234,1723,77,5,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-05-2026.pdf,IDSRS Week 05 Bulletin (2026),2026-08-08T00:41:07Z
AJK,469,422,90,5,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-05-2026.pdf,IDSRS Week 05 Bulletin (2026),2026-08-08T00:41:07Z
ICT,38,31,82,5,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-05-2026.pdf,IDSRS Week 05 Bulletin (2026),2026-08-08T00:41:07Z
Balochistan,1308,410,31,5,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-05-2026.pdf,IDSRS Week 05 Bulletin (2026),2026-08-08T00:41:07Z
GB,417,324,78,5,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-05-2026.pdf,IDSRS Week 05 Bulletin (2026),2026-08-08T00:41:07Z
Sindh,2111,2078,98,5,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-05-2026.pdf,IDSRS Week 05 Bulletin (2026),2026-08-08T00:41:07Z
National,6577,4988,76,5,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-05-2026.pdf,IDSRS Week 05 Bulletin (2026),2026-08-08T00:41:07Z
KP,2234,1637,73,4,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-04-2026-updated.pdf,IDSRS Week 04 Bulletin (2026),2026-08-08T00:41:10Z
AJK,469,424,90,4,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-04-2026-updated.pdf,IDSRS Week 04 Bulletin (2026),2026-08-08T00:41:10Z
ICT,38,30,79,4,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-04-2026-updated.pdf,IDSRS Week 04 Bulletin (2026),2026-08-08T00:41:10Z
Balochistan,1308,599,46,4,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-04-2026-updated.pdf,IDSRS Week 04 Bulletin (2026),2026-08-08T00:41:10Z
GB,417,364,87,4,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-04-2026-updated.pdf,IDSRS Week 04 Bulletin (2026),2026-08-08T00:41:10Z
Sindh,2111,2076,98,4,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-04-2026-updated.pdf,IDSRS Week 04 Bulletin (2026),2026-08-08T00:41:10Z
National,6577,5130,78,4,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-04-2026-updated.pdf,IDSRS Week 04 Bulletin (2026),2026-08-08T00:41:10Z
KP,2229,1681,75,3,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/Weekly Report-03-2026.pdf,IDSRS Week 03 Bulletin (2026),2026-08-08T00:41:13Z
AJK,469,399,85,3,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/Weekly Report-03-2026.pdf,IDSRS Week 03 Bulletin (2026),2026-08-08T00:41:13Z
ICT,38,30,79,3,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/Weekly Report-03-2026.pdf,IDSRS Week 03 Bulletin (2026),2026-08-08T00:41:13Z
Balochistan,1308,743,57,3,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/Weekly Report-03-2026.pdf,IDSRS Week 03 Bulletin (2026),2026-08-08T00:41:13Z
GB,417,362,87,3,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/Weekly Report-03-2026.pdf,IDSRS Week 03 Bulletin (2026),2026-08-08T00:41:13Z
Sindh,2111,2070,98,3,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/Weekly Report-03-2026.pdf,IDSRS Week 03 Bulletin (2026),2026-08-08T00:41:13Z
National,6572,5285,80,3,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/Weekly Report-03-2026.pdf,IDSRS Week 03 Bulletin (2026),2026-08-08T00:41:13Z
KP,2229,1706,77,2,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-02-2026-updated (1).pdf,IDSRS Week 02 Bulletin (2026),2026-08-08T00:41:16Z
AJK,469,408,87,2,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-02-2026-updated (1).pdf,IDSRS Week 02 Bulletin (2026),2026-08-08T00:41:16Z
ICT,38,30,79,2,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-02-2026-updated (1).pdf,IDSRS Week 02 Bulletin (2026),2026-08-08T00:41:16Z
Balochistan,1308,755,58,2,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-02-2026-updated (1).pdf,IDSRS Week 02 Bulletin (2026),2026-08-08T00:41:16Z
GB,417,367,88,2,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-02-2026-updated (1).pdf,IDSRS Week 02 Bulletin (2026),2026-08-08T00:41:16Z
Sindh,2111,2040,97,2,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-02-2026-updated (1).pdf,IDSRS Week 02 Bulletin (2026),2026-08-08T00:41:16Z
National,6572,5306,81,2,2026,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-02-2026-updated (1).pdf,IDSRS Week 02 Bulletin (2026),2026-08-08T00:41:16Z
KP,2229,1660,74,1,2026,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-01-2026-NEW.pdf,IDSRS Week 01 Bulletin (2026),2026-08-08T00:41:19Z
AJK,469,400,85,1,2026,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-01-2026-NEW.pdf,IDSRS Week 01 Bulletin (2026),2026-08-08T00:41:19Z
ICT,38,29,76,1,2026,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-01-2026-NEW.pdf,IDSRS Week 01 Bulletin (2026),2026-08-08T00:41:19Z
Balochistan,1308,621,47,1,2026,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-01-2026-NEW.pdf,IDSRS Week 01 Bulletin (2026),2026-08-08T00:41:19Z
GB,417,357,86,1,2026,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-01-2026-NEW.pdf,IDSRS Week 01 Bulletin (2026),2026-08-08T00:41:19Z
Sindh,2111,2059,98,1,2026,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-01-2026-NEW.pdf,IDSRS Week 01 Bulletin (2026),2026-08-08T00:41:19Z
National,6572,5126,78,1,2026,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-01-2026-NEW.pdf,IDSRS Week 01 Bulletin (2026),2026-08-08T00:41:19Z
KP,2229,1705,76,52,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/Weekly_Report-52-2025.pdf,IDSRS Week 52 Bulletin (2025),2026-08-08T00:41:21Z
AJK,469,412,88,52,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/Weekly_Report-52-2025.pdf,IDSRS Week 52 Bulletin (2025),2026-08-08T00:41:21Z
ICT,38,28,74,52,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/Weekly_Report-52-2025.pdf,IDSRS Week 52 Bulletin (2025),2026-08-08T00:41:21Z
Balochistan,1308,669,51,52,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/Weekly_Report-52-2025.pdf,IDSRS Week 52 Bulletin (2025),2026-08-08T00:41:21Z
GB,417,328,79,52,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/Weekly_Report-52-2025.pdf,IDSRS Week 52 Bulletin (2025),2026-08-08T00:41:21Z
Sindh,2111,2044,97,52,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/Weekly_Report-52-2025.pdf,IDSRS Week 52 Bulletin (2025),2026-08-08T00:41:21Z
National,6572,5186,79,52,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/Weekly_Report-52-2025.pdf,IDSRS Week 52 Bulletin (2025),2026-08-08T00:41:21Z
KP,2229,1672,75,51,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-51-2025-updated (1).pdf,IDSRS Week 51 Bulletin (2025),2026-08-08T00:41:24Z
AJK,469,401,86,51,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-51-2025-updated (1).pdf,IDSRS Week 51 Bulletin (2025),2026-08-08T00:41:24Z
ICT,38,10,26,51,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-51-2025-updated (1).pdf,IDSRS Week 51 Bulletin (2025),2026-08-08T00:41:24Z
Balochistan,1308,595,45,51,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-51-2025-updated (1).pdf,IDSRS Week 51 Bulletin (2025),2026-08-08T00:41:24Z
GB,417,327,78,51,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-51-2025-updated (1).pdf,IDSRS Week 51 Bulletin (2025),2026-08-08T00:41:24Z
Sindh,2111,2031,96,51,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-51-2025-updated (1).pdf,IDSRS Week 51 Bulletin (2025),2026-08-08T00:41:24Z
National,6572,5036,77,51,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-51-2025-updated (1).pdf,IDSRS Week 51 Bulletin (2025),2026-08-08T00:41:24Z
KP,2704,1686,62,50,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-50-2025.pdf,IDSRS Week 50 Bulletin (2025),2026-08-08T00:41:27Z
AJK,469,379,81,50,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-50-2025.pdf,IDSRS Week 50 Bulletin (2025),2026-08-08T00:41:27Z
ICT,38,27,71,50,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-50-2025.pdf,IDSRS Week 50 Bulletin (2025),2026-08-08T00:41:27Z
Balochistan,1308,645,49,50,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-50-2025.pdf,IDSRS Week 50 Bulletin (2025),2026-08-08T00:41:27Z
GB,417,374,90,50,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-50-2025.pdf,IDSRS Week 50 Bulletin (2025),2026-08-08T00:41:27Z
Sindh,2111,2058,97,50,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-50-2025.pdf,IDSRS Week 50 Bulletin (2025),2026-08-08T00:41:27Z
National,7047,5169,73,50,2025,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-50-2025.pdf,IDSRS Week 50 Bulletin (2025),2026-08-08T00:41:27Z
KP,2704,1686,62,49,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-49-2025.pdf,IDSRS Week 49 Bulletin (2025),2026-08-08T00:41:30Z
AJK,469,379,81,49,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-49-2025.pdf,IDSRS Week 49 Bulletin (2025),2026-08-08T00:41:30Z
ICT,38,27,71,49,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-49-2025.pdf,IDSRS Week 49 Bulletin (2025),2026-08-08T00:41:30Z
Balochistan,1308,645,49,49,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-49-2025.pdf,IDSRS Week 49 Bulletin (2025),2026-08-08T00:41:30Z
GB,417,374,90,49,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-49-2025.pdf,IDSRS Week 49 Bulletin (2025),2026-08-08T00:41:30Z
Sindh,2111,2058,97,49,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-49-2025.pdf,IDSRS Week 49 Bulletin (2025),2026-08-08T00:41:30Z
National,7047,5169,73,49,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-49-2025.pdf,IDSRS Week 49 Bulletin (2025),2026-08-08T00:41:30Z
KP,2704,1698,63,48,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-48-2025.pdf,IDSRS Week 48 Bulletin (2025),2026-08-08T00:41:32Z
AJK,469,407,87,48,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-48-2025.pdf,IDSRS Week 48 Bulletin (2025),2026-08-08T00:41:32Z
ICT,38,28,74,48,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-48-2025.pdf,IDSRS Week 48 Bulletin (2025),2026-08-08T00:41:32Z
Balochistan,1308,577,44,48,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-48-2025.pdf,IDSRS Week 48 Bulletin (2025),2026-08-08T00:41:32Z
GB,417,367,88,48,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-48-2025.pdf,IDSRS Week 48 Bulletin (2025),2026-08-08T00:41:32Z
Sindh,2111,203,96,48,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-48-2025.pdf,IDSRS Week 48 Bulletin (2025),2026-08-08T00:41:32Z
National,7047,5113,73,48,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-48-2025.pdf,IDSRS Week 48 Bulletin (2025),2026-08-08T00:41:32Z
KP,2704,1630,60,47,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-47-2025.pdf,IDSRS Week 47 Bulletin (2025),2026-08-08T00:41:35Z
AJK,469,419,89,47,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-47-2025.pdf,IDSRS Week 47 Bulletin (2025),2026-08-08T00:41:35Z
ICT,38,28,74,47,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-47-2025.pdf,IDSRS Week 47 Bulletin (2025),2026-08-08T00:41:35Z
Balochistan,1308,662,51,47,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-47-2025.pdf,IDSRS Week 47 Bulletin (2025),2026-08-08T00:41:35Z
GB,417,366,88,47,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-47-2025.pdf,IDSRS Week 47 Bulletin (2025),2026-08-08T00:41:35Z
Sindh,2111,2048,97,47,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-47-2025.pdf,IDSRS Week 47 Bulletin (2025),2026-08-08T00:41:35Z
National,7047,5202,73,47,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-47-2025.pdf,IDSRS Week 47 Bulletin (2025),2026-08-08T00:41:35Z
KP,2704,1686,62,46,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-46-2025.pdf,IDSRS Week 46 Bulletin (2025),2026-08-08T00:41:37Z
AJK,469,402,86,46,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-46-2025.pdf,IDSRS Week 46 Bulletin (2025),2026-08-08T00:41:37Z
ICT,38,24,63,46,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-46-2025.pdf,IDSRS Week 46 Bulletin (2025),2026-08-08T00:41:37Z
Balochistan,1308,657,50,46,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-46-2025.pdf,IDSRS Week 46 Bulletin (2025),2026-08-08T00:41:37Z
GB,417,372,89,46,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-46-2025.pdf,IDSRS Week 46 Bulletin (2025),2026-08-08T00:41:37Z
Sindh,2111,2061,98,46,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-46-2025.pdf,IDSRS Week 46 Bulletin (2025),2026-08-08T00:41:37Z
National,7047,5202,74,46,2025,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-46-2025.pdf,IDSRS Week 46 Bulletin (2025),2026-08-08T00:41:37Z
KP,2704,1542,57,45,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-45-2025.pdf,IDSRS Week 45 Bulletin (2025),2026-08-08T00:41:40Z
AJK,469,339,72,45,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-45-2025.pdf,IDSRS Week 45 Bulletin (2025),2026-08-08T00:41:40Z
ICT,38,28,74,45,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-45-2025.pdf,IDSRS Week 45 Bulletin (2025),2026-08-08T00:41:40Z
Balochistan,1308,676,52,45,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-45-2025.pdf,IDSRS Week 45 Bulletin (2025),2026-08-08T00:41:40Z
GB,417,318,76,45,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-45-2025.pdf,IDSRS Week 45 Bulletin (2025),2026-08-08T00:41:40Z
Sindh,2111,2013,95,45,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-45-2025.pdf,IDSRS Week 45 Bulletin (2025),2026-08-08T00:41:40Z
National,7047,4900,70,45,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-45-2025.pdf,IDSRS Week 45 Bulletin (2025),2026-08-08T00:41:40Z
KP,2704,1707,63,44,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-44-2025.pdf,IDSRS Week 44 Bulletin (2025),2026-08-08T00:41:42Z
AJK,469,410,87,44,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-44-2025.pdf,IDSRS Week 44 Bulletin (2025),2026-08-08T00:41:42Z
ICT,38,28,74,44,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-44-2025.pdf,IDSRS Week 44 Bulletin (2025),2026-08-08T00:41:42Z
Balochistan,1308,770,59,44,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-44-2025.pdf,IDSRS Week 44 Bulletin (2025),2026-08-08T00:41:42Z
GB,417,372,89,44,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-44-2025.pdf,IDSRS Week 44 Bulletin (2025),2026-08-08T00:41:42Z
Sindh,2111,2028,96,44,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-44-2025.pdf,IDSRS Week 44 Bulletin (2025),2026-08-08T00:41:42Z
National,7047,5315,75,44,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-44-2025.pdf,IDSRS Week 44 Bulletin (2025),2026-08-08T00:41:42Z
KP,2704,1820,67,43,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-43-2025.pdf,IDSRS Week 43 Bulletin (2025),2026-08-08T00:41:45Z
AJK,454,433,95,43,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-43-2025.pdf,IDSRS Week 43 Bulletin (2025),2026-08-08T00:41:45Z
ICT,38,27,71,43,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-43-2025.pdf,IDSRS Week 43 Bulletin (2025),2026-08-08T00:41:45Z
Balochistan,1308,716,55,43,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-43-2025.pdf,IDSRS Week 43 Bulletin (2025),2026-08-08T00:41:45Z
GB,410,377,92,43,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-43-2025.pdf,IDSRS Week 43 Bulletin (2025),2026-08-08T00:41:45Z
Sindh,2111,2068,98,43,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-43-2025.pdf,IDSRS Week 43 Bulletin (2025),2026-08-08T00:41:45Z
National,6986,5289,78,43,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-43-2025.pdf,IDSRS Week 43 Bulletin (2025),2026-08-08T00:41:45Z
KP,2704,1820,67,42,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-42-2025.pdf,IDSRS Week 42 Bulletin (2025),2026-08-08T00:41:47Z
AJK,454,433,95,42,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-42-2025.pdf,IDSRS Week 42 Bulletin (2025),2026-08-08T00:41:47Z
ICT,38,27,71,42,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-42-2025.pdf,IDSRS Week 42 Bulletin (2025),2026-08-08T00:41:47Z
Balochistan,1308,716,55,42,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-42-2025.pdf,IDSRS Week 42 Bulletin (2025),2026-08-08T00:41:47Z
GB,410,377,92,42,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-42-2025.pdf,IDSRS Week 42 Bulletin (2025),2026-08-08T00:41:47Z
Sindh,2111,2068,98,42,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-42-2025.pdf,IDSRS Week 42 Bulletin (2025),2026-08-08T00:41:47Z
National,6986,5289,78,42,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-42-2025.pdf,IDSRS Week 42 Bulletin (2025),2026-08-08T00:41:47Z
KP,2704,1760,65,41,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-41-2025.pdf,IDSRS Week 41 Bulletin (2025),2026-08-08T00:41:50Z
AJK,469,451,96,41,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-41-2025.pdf,IDSRS Week 41 Bulletin (2025),2026-08-08T00:41:50Z
ICT,38,26,68,41,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-41-2025.pdf,IDSRS Week 41 Bulletin (2025),2026-08-08T00:41:50Z
Balochistan,1308,729,56,41,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-41-2025.pdf,IDSRS Week 41 Bulletin (2025),2026-08-08T00:41:50Z
GB,417,374,90,41,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-41-2025.pdf,IDSRS Week 41 Bulletin (2025),2026-08-08T00:41:50Z
Sindh,2111,2055,97,41,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-41-2025.pdf,IDSRS Week 41 Bulletin (2025),2026-08-08T00:41:50Z
National,7047,5425,77,41,2025,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-41-2025.pdf,IDSRS Week 41 Bulletin (2025),2026-08-08T00:41:50Z
