Region,Expected Reports,Received Reports,Compliance (%),Week,Year,Source link,Source title,datetime_loaded
National,6614,4866,74,26,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Public Health Bulletin IDSRS Weekly Report-26-2026.pdf,IDSRS Week 26 Bulletin (2026),2026-08-08T00:40:06Z
KP,2277,1827,80,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
AJK,476,0,0,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
ICT,36,32,89,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
Balochistan,1305,570,44,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
GB,405,369,91,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
Sindh,2115,2078,98,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
National,6614,4876,74,25,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,IDSRS Week 25 Bulletin (2026),2026-08-08T00:40:11Z
KP,2277,1826,80,24,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Weekly Report-24-2026 (1).pdf,IDSRS Week 24 Bulletin (2026),2026-08-08T00:40:14Z
AJK,476,0,0,24,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Weekly Report-24-2026 (1).pdf,IDSRS Week 24 Bulletin (2026),2026-08-08T00:40:14Z
ICT,36,32,89,24,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Weekly Report-24-2026 (1).pdf,IDSRS Week 24 Bulletin (2026),2026-08-08T00:40:14Z
Balochistan,1305,588,45,24,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Weekly Report-24-2026 (1).pdf,IDSRS Week 24 Bulletin (2026),2026-08-08T00:40:14Z
GB,405,364,90,24,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Weekly Report-24-2026 (1).pdf,IDSRS Week 24 Bulletin (2026),2026-08-08T00:40:14Z
Sindh,2115,2076,98,24,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Weekly Report-24-2026 (1).pdf,IDSRS Week 24 Bulletin (2026),2026-08-08T00:40:14Z
National,6614,4886,74,24,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/Weekly Report-24-2026 (1).pdf,IDSRS Week 24 Bulletin (2026),2026-08-08T00:40:14Z
KP,2277,1825,80,23,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-23-2026.pdf,IDSRS Week 23 Bulletin (2026),2026-08-08T00:40:16Z
AJK,476,0,0,23,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-23-2026.pdf,IDSRS Week 23 Bulletin (2026),2026-08-08T00:40:16Z
ICT,38,30,79,23,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-23-2026.pdf,IDSRS Week 23 Bulletin (2026),2026-08-08T00:40:16Z
Balochistan,1303,574,44,23,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-23-2026.pdf,IDSRS Week 23 Bulletin (2026),2026-08-08T00:40:16Z
GB,405,360,89,23,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-23-2026.pdf,IDSRS Week 23 Bulletin (2026),2026-08-08T00:40:16Z
